  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
   366    12    31  2020      75       0  hru0075        0.000       0.000     -12.097     -43.664          121.202           20.542            0.000            0.368           19.223           -9.225            3.282           11.238            1.845           37.712            9.467          155.139           21.631            0.000            0.000
   366    12    31  2020      76       0  hru0076        0.000       0.000     -16.309     -38.120          121.202           20.542            0.000            1.674           17.123           -6.148            2.941            8.182            2.575           37.712            9.467          171.816           29.073            0.000            0.000
   366    12    31  2020      77       0  hru0077        0.000       0.000     -17.913     -47.820          121.202           20.542            0.000            0.133           19.105           -7.594            3.267           10.873            2.180           37.712            9.467          179.608           26.817            0.000            0.000
   366    12    31  2020      78       0  hru0078        0.000       0.000     -16.276     -44.796          115.472           20.210            0.000            0.182           19.942           -7.856            3.402           14.315            2.174           38.751            9.752          180.850           25.358            0.000            0.000
   366    12    31  2020      79       0  hru0079        0.000       0.000     -12.568     -30.902          115.472           20.210            0.000            7.643           16.177           -7.936            2.773            5.366            1.636           38.714            9.742          103.083           17.386            0.000            0.000
   366    12    31  2020      80       0  hru0080        0.000       0.000     -36.006     -43.584          158.278           14.129            0.000            1.502           13.986           -6.806            2.407            6.345            2.334           38.714            9.742          206.827           45.003            0.000            0.000
   366    12    31  2020      81       0  hru0081        0.000       0.000     -21.695     -38.593          115.472           20.210            0.000            1.198           15.174           -4.973            2.615            6.063            2.731           38.714            9.742          169.522           30.777            0.000            0.000
   366    12    31  2020      82       0  hru0082        0.000       0.000     -25.295     -55.960          115.472           20.210            0.000            0.000           19.592           -8.346            3.368            4.806            2.098           38.559            9.699          160.793           27.608            0.000            0.000
   366    12    31  2020      83       0  hru0083        0.000       0.000     -25.733     -56.128          115.472           20.210            0.000            0.000           19.625           -8.167            3.375            6.001            2.308           38.559            9.699          163.211           28.445            0.000            0.000
   366    12    31  2020      84       0  hru0084        0.000       0.000     -14.013     -43.803          115.472           20.210            0.000            0.263           19.425           -7.935            3.320           13.361            1.749           37.712            9.467          177.655           21.937            0.000            0.000
   366    12    31  2020      85       0  hru0085        0.000       0.000     -14.504     -46.784           85.231           17.886            0.000            0.000           34.180          -24.428            5.856            2.197            0.644           37.712            9.467           71.754           13.064            0.000            0.000
   366    12    31  2020      86       0  hru0086        0.000       0.000     -24.568     -40.246           85.231           17.886            0.000            0.998           14.354           -7.168            2.474            3.464            1.490           38.559            9.699          140.168           29.490            0.000            0.000
   366    12    31  2020      87       0  hru0087        0.000       0.000     -23.419     -47.403           85.231           17.886            0.000            0.000           32.034          -20.262            5.500            3.151            1.613           37.712            9.467          155.905           30.888            0.000            0.000
   366    12    31  2020      88       0  hru0088        0.000       0.000     -21.656     -40.556          109.941           22.016            0.000            0.756           14.395           -6.116            2.485            5.050            2.179           38.421            9.661          168.804           31.280            0.000            0.000
   366    12    31  2020      89       0  hru0089        0.000       0.000     -21.656     -40.346          109.941           22.016            0.000            0.999           14.713           -6.514            2.536            5.737            2.058           38.456            9.671          166.945           30.205            0.000            0.000
   366    12    31  2020      90       0  hru0090        0.000       0.000     -21.435     -40.574          109.941           22.016            0.000            0.773           14.370           -6.111            2.481            5.244            2.212           38.421            9.661          169.159           31.204            0.000            0.000
   366    12    31  2020      91       0  hru0091        0.000       0.000     -12.133     -46.996          109.941           22.016            0.000            0.000           35.039          -25.060            5.998            3.303            0.660           38.421            9.661           71.896           10.931            0.000            0.000
   366    12    31  2020      92       0  hru0092        0.000       0.000     -16.242     -48.459          109.941           22.016            0.000            0.000           34.898          -23.995            5.975            4.130            1.131           38.421            9.661          106.893           16.694            0.000            0.000
   366    12    31  2020      93       0  hru0093        0.000       0.000     -15.224     -32.444          131.372           11.181            0.000            3.635           18.908          -12.312            3.239            2.953            0.818           38.559            9.699          112.429           19.015            0.000            0.000
   366    12    31  2020      94       0  hru0094        0.000       0.000     -28.459     -47.356          131.372           11.181            0.000            2.449           15.855           -8.142            2.722            5.473            1.725           38.559            9.699          180.217           33.137            0.000            0.000
